case,impl,operation,workload,mean_seconds,ci95_seconds,ci_level_percent,repetitions
c_encode_shakespeare,c,encode,shakespeare,0.0619383,0.000635901,95,60
rust_encode_shakespeare,rust,encode,shakespeare,0.0460462,0.000652528,95,112
c_decode_shakespeare,c,decode,shakespeare,0.0785577,0.0156313,95,50
rust_decode_shakespeare,rust,decode,shakespeare,0.0545279,0.000555148,95,63
c_encode_kipling,c,encode,kipling,0.0169466,0.000654773,95,57
rust_encode_kipling,rust,encode,kipling,0.013865,0.000172161,95,35
c_decode_kipling,c,decode,kipling,0.020493,0.000471669,95,30
rust_decode_kipling,rust,decode,kipling,0.0151804,0.000263268,95,90
c_encode_kernel,c,encode,kernel,1.42674,0.00901864,95,30
rust_encode_kernel,rust,encode,kernel,0.817816,0.00268484,95,48
c_decode_kernel,c,decode,kernel,1.24032,0.00923538,95,60
rust_decode_kernel,rust,decode,kernel,3.09723,0.00879074,95,30
